Timestamp,room,computer,age,reaction,digits,verbal,visual,typing
2/5/2020 11:17:54,Cloud 115,The school's computer,22,288,6,95,10,90
2/5/2020 11:24:56,Cloud 115,Your own computer,19,414,8,4,10,44
2/5/2020 11:25:04,Cloud 115,The school's computer,22,276,10,14,10,85
2/5/2020 11:25:05,Cloud 115,Your own computer,30,288,6,48,10,76
2/5/2020 11:25:43,Cloud 115,The school's computer,20,258,8,31,9,25
2/5/2020 11:25:52,Cloud 115,Your own computer,23,288,3,9,9,9
2/5/2020 11:25:55,Cloud 115,The school's computer,30,305,8,8,7,43
2/5/2020 11:26:27,Cloud 115,Your own computer,19,236,3,40,11,97
2/5/2020 11:27:16,Cloud 115,The school's computer,19,260,8,27,9,22
2/5/2020 11:28:33,Cloud 115,The school's computer,21,257,11,13,8,29
2/5/2020 11:28:37,Cloud 115,The school's computer,20,227,7,32,9,24
2/5/2020 11:29:25,Cloud 115,Your own computer,21,316,8,44,9,24
2/5/2020 11:29:38,Cloud 115,The school's computer,23,296,6,33,9,36
2/5/2020 11:29:48,Cloud 115,Your own computer,22,368.3,9,37,9,47
2/5/2020 11:32:03,Cloud 115,The school's computer,19,258,9,33,14,83
2/5/2020 11:32:09,Cloud 115,Your own computer,19,260,11,23,10,32
2/5/2020 11:33:22,Cloud 115,The school's computer,34,278,9,48,9,23
2/5/2020 11:34:00,Cloud 115,Your own computer,25,384,9,24,9,57
2/5/2020 11:34:03,Cloud 115,The school's computer,21,274,9,2,9,31
2/5/2020 11:34:06,Cloud 115,The school's computer,20,250,7,1,10,60
2/5/2020 11:34:10,Cloud 115,Your own computer,26,362,7,39,8,30
2/5/2020 11:34:41,Cloud 115,Your own computer,18,244,9,27,9,46
2/5/2020 11:35:13,Cloud 115,The school's computer,19,247.67,8,69,14,50
2/5/2020 11:35:13,Cloud 115,The school's computer,20,258,9,85,9,24
2/5/2020 11:35:53,Cloud 115,Your own computer,32,363,11,74,7,75
2/5/2020 11:36:17,Cloud 115,Your own computer,18,316,8,53,9,43
2/5/2020 11:36:35,Cloud 115,Your own computer,20,219,9,95,13,51
2/5/2020 11:37:02,Cloud 115,Your own computer,20,404,7,12,10,43
2/5/2020 11:38:47,Cloud 115,The school's computer,24,244,7,49,11,46
2/5/2020 11:39:07,Cloud 115,The school's computer,20,264,8,50,10,31
2/5/2020 11:39:29,Cloud 115,Your own computer,19,286,8,150,8,35
2/5/2020 11:39:34,Cloud 115,The school's computer,20,240,9,20,7,20
2/5/2020 14:20:22,MUB 255,Your own computer,30,401,8,57,9,43
2/5/2020 14:20:37,MUB 255,The school's computer,26,316,8,57,5,43
2/5/2020 14:21:50,MUB 255,Your own computer,29,287,8,57,9,8
2/5/2020 14:24:14,MUB 255,Your own computer,20,375,9,13,9,65
2/5/2020 14:25:01,MUB 255,Your own computer,20,280,8,35,9,38
2/5/2020 14:25:11,MUB 255,The school's computer,19,300,7,81,9,37
2/5/2020 14:25:37,MUB 255,Your own computer,20,244.33,7,57,9,35
2/5/2020 14:25:46,MUB 255,Your own computer,20,294,9,77,11,54
2/5/2020 14:25:55,MUB 255,The school's computer,18,364,9,6,9,28
2/5/2020 14:26:05,MUB 255,The school's computer,28,353,8,4,9,58
2/5/2020 14:26:10,MUB 255,Your own computer,30,322,8,57,9,9
2/5/2020 14:26:40,MUB 255,The school's computer,18,317,9,48,9,58
2/5/2020 14:26:59,MUB 255,Your own computer,23,360,8,62,9,43
2/5/2020 14:27:13,MUB 255,The school's computer,29,343,9,70,8,81
2/5/2020 14:29:04,MUB 255,Your own computer,19,264,10,71,11,26
2/5/2020 14:29:22,MUB 255,The school's computer,25,279,8,30,9,40
2/5/2020 14:30:01,MUB 255,Your own computer,32,258,7,41,10,73
2/5/2020 14:31:33,MUB 255,The school's computer,25,355,9,96,10,96
2/5/2020 14:32:47,MUB 255,The school's computer,26,336,8,57,9,9
2/5/2020 14:34:52,MUB 255,The school's computer,20,350,8,69,8,29
2/5/2020 14:35:02,MUB 255,The school's computer,26,339,8,57,9,43
2/5/2020 14:35:25,MUB 255,The school's computer,31,323.666666,9,37,10,54
2/5/2020 14:38:06,MUB 255,The school's computer,19,315,7,5,6,11
2/5/2020 14:38:17,MUB 255,The school's computer,28,344,10,173,9,56
2/5/2020 14:38:51,MUB 255,The school's computer,30,185,9,80,12,50
2/5/2020 14:39:21,MUB 255,Your own computer,56,289,9,86,2,20
