website_interaction,time,Variable 3,age,website_version,sign_up,Variable 7
0.11156508,18.05868924,42.7765243,26,B,No,TRUE
0.10156508,29.11348134,40.97482078,18,B,No,FALSE
0.024893534,28.72324281,40.52132987,23,C,No,TRUE
0.041042499,19.23439788,43.26796074,16,B,Maybe,TRUE
0.041042499,32.52269344,37.96660343,21,B,Yes,TRUE
0.11156508,13.78985447,45.58724657,26,B,Maybe,TRUE
0.30326533,20.43692439,43.66455344,21,A,Yes,TRUE
0.024893534,24.92660949,42.02348496,26,B,Yes,TRUE
0.041042499,6.946482339,47.42980153,22,A,No,TRUE
0.11156508,25.38474644,40.60764382,22,B,Maybe,FALSE
0.067667642,28.85950293,38.74479386,17,B,No,FALSE
0.183939721,21.37218447,42.73345728,21,C,No,FALSE
0.024893534,14.11745899,44.77654017,17,B,No,FALSE
0.11156508,18.31177632,43.22464276,16,C,Yes,TRUE
0.11156508,27.60658919,41.16589146,21,A,Yes,FALSE
0.30326533,33.07106847,37.43299398,15,A,Yes,TRUE
0.041042499,12.10076319,46.24876341,30,A,No,TRUE
0.11156508,32.66546081,38.89374332,22,C,Maybe,FALSE
0.067667642,25.6431509,42.30705473,22,A,Yes,TRUE
0.067667642,2.999209977,48.80031601,18,B,Maybe,TRUE
0.11156508,24.00284092,40.87892045,15,C,Maybe,FALSE
0.041042499,22.98833359,42.18396658,15,B,Maybe,TRUE
0.067667642,31.95704613,39.45417478,23,A,No,FALSE
0.041042499,26.47280365,39.94033461,21,C,Maybe,TRUE
0.041042499,17.75477003,43.07563969,17,B,Maybe,FALSE
0.31326533,25.85069573,40.17673562,24,C,Yes,FALSE
0.11156508,16.88225392,44.93532382,24,C,No,FALSE
0.041042499,2.410828885,49.10799331,24,A,No,TRUE
0.30326533,18.28457154,43.60039996,19,A,Yes,FALSE
0.024893534,15.58712614,45.1679909,16,A,Maybe,FALSE
0.067667642,34.58576124,38.24084118,30,B,No,FALSE
0.069667642,18.85141227,43.59051983,27,C,Maybe,FALSE
0.183939721,10.83442495,46.31629552,30,A,Maybe,TRUE
0.30326533,5.73335274,47.82132596,28,A,No,FALSE
0.11156508,21.45929642,42.27465329,23,A,Maybe,FALSE
0.041042499,17.13828206,43.48745282,24,C,No,TRUE
0.044042499,25.51660019,40.55885793,30,B,No,FALSE
0.024893534,22.60721305,42.76569182,21,A,Maybe,FALSE
0.30326533,12.94098605,45.60006474,17,B,Yes,TRUE
0.024893534,8.784900437,47.10098286,27,C,Maybe,FALSE
0.11156508,9.268659887,46.29253605,28,C,Yes,FALSE
0.067667642,21.25771492,43.19753122,26,B,Yes,FALSE
0.067667642,22.92769031,42.4338622,18,A,No,TRUE
0.30326533,32.58033803,38.59688169,25,C,No,TRUE
0.183939721,4.602664599,48.25098745,20,B,Maybe,TRUE
0.184939721,23.5067905,41.30248752,19,A,Maybe,TRUE
0.024893534,18.96232669,43.17356239,16,C,No,TRUE
0.024893534,25.00552533,42.4983424,28,A,No,TRUE
0.024893534,15.09508084,44.5657709,26,B,No,TRUE
0.024893534,17.42754895,44.07463336,21,B,Maybe,TRUE
