class_time,hair_color,animal_choice,sf_resident,car_owner,personality_type,eating_preference ,right_pinky (mm),chin_to_nose (mm),math_success_opinion,letter_grade,response_time (seconds),digit_memory,creative_period,first_semester
Day,Black,Dogs,Lives in SF,Yes,Type A,Restaurant,65,80,No,A,239,8,Night,No
Day,Black,Fish,Lives in SF,No,Type B,Home,61,78,No,C,344,7,Morning,Yes
Day,Black,Dogs,Does not live in SF,Yes,Type A,Home,65,60,No,A,276,9,Morning,No
Day,Brown,Dogs,Lives in SF,No,Type B,Home,65.2,70.01,No,B,457,11,Night,No
Day,Gray,Dogs,Lives in SF,No,Type B,Restaurant,65,80,Yes,A,312,7,Morning,No
Day,Black,Dogs,Lives in SF,Yes,Type B,Restaurant,55,80,No,B,366,8,After Midnight,No
Day,Black,"Other Small Mammals (ferrets, rabbits, hamsters, etc)",Lives in SF,No,Type A,Restaurant,60,70,No,B,374,12,After Midnight,No
Day,Brown,None,Lives in SF,Yes,Type A,Restaurant,60,80,Yes,C,332,10,Night,No
Day,Brown,Dogs,Lives in SF,No,Type A,Restaurant,67.15,59,Yes,A,338,7,Evening,No
Day,Blonde,Other,Does not live in SF,No,Type B,Restaurant,64,55,No,A,482,9,Night,No
Day,Other,Dogs,Lives in SF,Yes,Type B,Restaurant,55,65,Yes,A,348,8,Afternoon,No
Day,Brown,Cats,Lives in SF,No,Type B,Home,56,70,No,A,335,9,After Midnight,Yes
Day,Black,Dogs,Lives in SF,No,Type A,Restaurant,52,58,Yes,B,533,8,Night,No
Day,Brown,Dogs,Lives in SF,No,Type B,Home,62,69,Yes,B,323,10,Afternoon,No
Day,Black,"Other Small Mammals (ferrets, rabbits, hamsters, etc)",Lives in SF,No,Type A,Restaurant,57,82,No,A,397,8,After Midnight,Yes
Day,Brown,Dogs,Lives in SF,No,Type B,Home,60,65,Yes,A,418,5,Night,No
Day,Brown,Dogs,Lives in SF,No,Type B,Home,56,78,Yes,A,361,7,Evening,No
Day,Black,Dogs,Lives in SF,No,Type B,Restaurant,58,52,Yes,B,361,7,Afternoon,No
Day,Brown,Dogs,Lives in SF,Yes,Type A,Home,65,72,Yes,A,729,8,Evening,No
Day,Black,"Other Small Mammals (ferrets, rabbits, hamsters, etc)",Lives in SF,Yes,Type A,Home,60,90,Yes,A,426,7,Night,No
Day,Black,Cats,Lives in SF,Yes,Type A,Home,60,60,Yes,A,352,8,Evening,No
Day,Black,Dogs,Lives in SF,Yes,Type B,Home,70,65,Yes,A,433,7,Evening,No
Day,Brown,Cats,Lives in SF,Yes,Type B,Restaurant,60,65,No,B,304,8,Morning,Yes
Day,Brown,Dogs,Lives in SF,No,Type B,Home,60,65,No,A,329,8,Morning,No
Day,Brown,Dogs,Lives in SF,Yes,Type A,Home,60,65,No,B,284,9,Morning,No
Day,Blonde,Dogs,Lives in SF,No,Type A,Home,64,80,Yes,B,271,7,Night,No
Day,Brown,Dogs,Lives in SF,No,Type B,Home,62,69,Yes,B,274,10,Afternoon,No
Day,Other,Dogs,Lives in SF,No,Type A,Home,60,55,Yes,A,387,9,Evening,No
Day,Black,Cats,Lives in SF,Yes,Type B,Restaurant,62,74,Yes,B,333,8,Evening,No
Day,Brown,Dogs,Lives in SF,Yes,Type A,Restaurant,56,80,Yes,A,328,7,After Midnight,No
Day,Brown,Dogs,Lives in SF,Yes,Type A,Restaurant,60,70,Yes,A,331,8,Night,No
Day,Brown,Dogs,Lives in SF,No,Type A,Restaurant,65,63,Yes,A,362,11,Evening,No
Day,Black,Cats,Does not live in SF,No,Type B,Restaurant,67.89,59,Yes,A,"1,253",9,Morning,No
Day,Black,Dogs,Lives in SF,No,Type A,Home,60,70,Yes,A,232,11,Night,No
Day,Brown,Other,Lives in SF,No,Type A,Home,60,75,Yes,A,316,8,Night,No
Day,Brown,Cats,Lives in SF,Yes,Type A,Restaurant,65,70,Yes,A,372,8,Afternoon,No
Day,Black,Cats,Lives in SF,Yes,Type A,Restaurant,60,80,Yes,A,428,5,Afternoon,No
Day,Black,Cats,Lives in SF,No,Type A,Restaurant,60,70,Yes,A,391,11,Evening,No
Day,Black,Dogs,Does not live in SF,No,Type B,Home,55,65,Yes,B,415,8,Morning,No
Day,Brown,Dogs,Lives in SF,Yes,Type B,Home,50,60,Yes,B,322,10,Early Morning,No
Day,Brown,Dogs,Lives in SF,Yes,Type B,Home,70,80,Yes,A,249,9,Night,No
Evening,Black,Dogs,Lives in SF,Yes,Type A,Home,57,70,Yes,A,303,10,Night,Yes
Evening,Black,Dogs,Lives in SF,No,Type B,Home,55,70,No,B,354,5,Night,No
